%
%
% Run:2017  Table:COMPGRID          SWAN version:41.10A
%
%       Xp            Yp            Depth         Hsig          Tm_10         TPsmoo        Tm01          Tm02          Dir           Dspr          Steepn        Dissip        Ssurf         Sfric         Swcap         Redist        Snl3          Snl4          Genera        Swind    
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [ ]           [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]        [m2/s]   
%
           0.            0.       19.0000       2.00748        7.2042        8.0131        6.5700        5.8761         0.000       31.5061     0.0393482     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           0.            0.       19.0000       2.00747        7.2042        8.0131        6.5700        5.8761         0.000       31.5061     0.0393476     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           1.            0.       19.0000       2.00746        7.2042        8.0131        6.5700        5.8762         0.000       31.5060     0.0393468     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       2.00745        7.2042        8.0131        6.5700        5.8762         0.000       31.5059     0.0393461     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       2.00744        7.2042        8.0131        6.5701        5.8763         0.000       31.5059     0.0393454     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           2.            0.       19.0000       2.00744        7.2042        8.0131        6.5701        5.8763         0.000       31.5058     0.0393447     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           3.            0.       19.0000       2.00743        7.2042        8.0131        6.5701        5.8764         0.000       31.5058     0.0393440     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       2.00742        7.2043        8.0131        6.5701        5.8764         0.000       31.5057     0.0393433     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       2.00741        7.2043        8.0131        6.5702        5.8764         0.000       31.5057     0.0393426     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           4.            0.       19.0000       2.00740        7.2043        8.0131        6.5702        5.8765         0.000       31.5056     0.0393418     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           5.            0.       19.0000       2.00739        7.2043        8.0131        6.5702        5.8765         0.000       31.5055     0.0393411     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       2.00739        7.2043        8.0131        6.5702        5.8766         0.000       31.5055     0.0393404     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       2.00738        7.2043        8.0131        6.5703        5.8766         0.000       31.5054     0.0393397     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
           6.            0.       19.0000       2.00737        7.2043        8.0131        6.5703        5.8767         0.000       31.5054     0.0393390     0.0000178     0.0000000     0.0000141     0.0000037     0.0000000     0.0000000     0.0000000     0.0000000     0.0000000 
